accuracy: 	0.8125	loss: 	0.45430613
accuracy: 	0.90625	loss: 	0.3406492
accuracy: 	0.84375	loss: 	0.44883826
accuracy: 	0.875	loss: 	0.26583475
accuracy: 	0.78125	loss: 	0.5114726
accuracy: 	0.8125	loss: 	0.5028647
accuracy: 	0.828125	loss: 	0.455992
accuracy: 	0.859375	loss: 	0.43044287
accuracy: 	0.921875	loss: 	0.28320128
accuracy: 	0.890625	loss: 	0.31801635
accuracy: 	0.84375	loss: 	0.37255812
accuracy: 	0.78125	loss: 	0.5125302
accuracy: 	0.84375	loss: 	0.43092942
accuracy: 	0.828125	loss: 	0.34979522
accuracy: 	0.859375	loss: 	0.34400284
accuracy: 	0.84375	loss: 	0.61664295
accuracy: 	0.875	loss: 	0.4105751
accuracy: 	0.890625	loss: 	0.3314566
accuracy: 	0.890625	loss: 	0.31722412
accuracy: 	0.8125	loss: 	0.3273812
accuracy: 	0.84375	loss: 	0.38295346
accuracy: 	0.90625	loss: 	0.34213638
accuracy: 	0.859375	loss: 	0.31462193
accuracy: 	0.84375	loss: 	0.52484864
accuracy: 	0.8125	loss: 	0.37558854
accuracy: 	0.875	loss: 	0.3189738
accuracy: 	0.84375	loss: 	0.38503802
accuracy: 	0.78125	loss: 	0.5644516
accuracy: 	0.859375	loss: 	0.38489348
accuracy: 	0.78125	loss: 	0.60911435
accuracy: 	0.890625	loss: 	0.31813583
accuracy: 	0.890625	loss: 	0.27403122
accuracy: 	0.84375	loss: 	0.5700589
accuracy: 	0.890625	loss: 	0.29842687
accuracy: 	0.859375	loss: 	0.4554599
accuracy: 	0.8125	loss: 	0.483741
accuracy: 	0.828125	loss: 	0.43790874
accuracy: 	0.875	loss: 	0.29384744
accuracy: 	0.859375	loss: 	0.3954583
accuracy: 	0.84375	loss: 	0.34068313
accuracy: 	0.84375	loss: 	0.44298637
accuracy: 	0.859375	loss: 	0.3561405
accuracy: 	0.828125	loss: 	0.46321702
accuracy: 	0.84375	loss: 	0.44702268
accuracy: 	0.890625	loss: 	0.46404645
accuracy: 	0.75	loss: 	0.6425283
accuracy: 	0.765625	loss: 	0.53842175
accuracy: 	0.875	loss: 	0.44820353
accuracy: 	0.84375	loss: 	0.3695929
accuracy: 	0.890625	loss: 	0.35101864
accuracy: 	0.875	loss: 	0.36363876
accuracy: 	0.90625	loss: 	0.27053875
accuracy: 	0.765625	loss: 	0.51584136
accuracy: 	0.921875	loss: 	0.24804941
accuracy: 	0.875	loss: 	0.3489737
accuracy: 	0.796875	loss: 	0.5156079
accuracy: 	0.890625	loss: 	0.35951898
accuracy: 	0.859375	loss: 	0.36582956
accuracy: 	0.859375	loss: 	0.30349222
accuracy: 	0.9375	loss: 	0.17775838
accuracy: 	0.765625	loss: 	0.66485757
accuracy: 	0.890625	loss: 	0.25461528
accuracy: 	0.796875	loss: 	0.5433949
accuracy: 	0.875	loss: 	0.43891057
accuracy: 	0.859375	loss: 	0.543146
accuracy: 	0.90625	loss: 	0.31226984
accuracy: 	0.921875	loss: 	0.25791058
accuracy: 	0.828125	loss: 	0.43433255
accuracy: 	0.796875	loss: 	0.5123682
accuracy: 	0.921875	loss: 	0.21809158
accuracy: 	0.90625	loss: 	0.2900561
accuracy: 	0.859375	loss: 	0.50675344
accuracy: 	0.96875	loss: 	0.21326306
accuracy: 	0.890625	loss: 	0.2510063
accuracy: 	0.90625	loss: 	0.25268608
accuracy: 	0.84375	loss: 	0.5002025
accuracy: 	0.890625	loss: 	0.22928986
accuracy: 	0.890625	loss: 	0.26109654
accuracy: 	0.84375	loss: 	0.40762028
accuracy: 	0.859375	loss: 	0.31866834
accuracy: 	0.828125	loss: 	0.42018035
accuracy: 	0.875	loss: 	0.44009277
accuracy: 	0.90625	loss: 	0.4114808
accuracy: 	0.875	loss: 	0.33661526
accuracy: 	0.875	loss: 	0.43844885
accuracy: 	0.875	loss: 	0.41002303
accuracy: 	0.890625	loss: 	0.40742016
accuracy: 	0.90625	loss: 	0.2891671
accuracy: 	0.828125	loss: 	0.38750657
accuracy: 	0.875	loss: 	0.35555053
accuracy: 	0.875	loss: 	0.37668645
accuracy: 	0.875	loss: 	0.28370446
accuracy: 	0.859375	loss: 	0.41679236
accuracy: 	0.921875	loss: 	0.3421316
accuracy: 	0.890625	loss: 	0.40119076
accuracy: 	0.921875	loss: 	0.23140126
accuracy: 	0.921875	loss: 	0.22447537
accuracy: 	0.84375	loss: 	0.42916667
accuracy: 	0.921875	loss: 	0.19341502
accuracy: 	0.875	loss: 	0.31520155
accuracy: 	0.890625	loss: 	0.36608455
accuracy: 	0.859375	loss: 	0.35672027
accuracy: 	0.859375	loss: 	0.40732983
accuracy: 	0.765625	loss: 	0.5283318
accuracy: 	0.796875	loss: 	0.4860813
accuracy: 	0.875	loss: 	0.29320216
accuracy: 	0.875	loss: 	0.3344604
accuracy: 	0.890625	loss: 	0.3719839
accuracy: 	0.71875	loss: 	0.6812013
accuracy: 	0.875	loss: 	0.3384621
accuracy: 	0.84375	loss: 	0.3572179
accuracy: 	0.921875	loss: 	0.24988341
accuracy: 	0.921875	loss: 	0.3364082
accuracy: 	0.875	loss: 	0.34196553
accuracy: 	0.890625	loss: 	0.34691304
accuracy: 	0.875	loss: 	0.47768915
accuracy: 	0.84375	loss: 	0.41886857
accuracy: 	0.859375	loss: 	0.39438993
accuracy: 	0.84375	loss: 	0.42725116
accuracy: 	0.90625	loss: 	0.22216213
accuracy: 	0.875	loss: 	0.35252333
accuracy: 	0.859375	loss: 	0.39759192
accuracy: 	0.90625	loss: 	0.28082407
accuracy: 	0.890625	loss: 	0.29864073
accuracy: 	0.859375	loss: 	0.35982245
accuracy: 	0.921875	loss: 	0.19962683
accuracy: 	0.796875	loss: 	0.62785745
accuracy: 	0.875	loss: 	0.31940502
accuracy: 	0.78125	loss: 	0.6992215
accuracy: 	0.875	loss: 	0.32370692
accuracy: 	0.796875	loss: 	0.6417578
accuracy: 	0.859375	loss: 	0.33705685
accuracy: 	0.90625	loss: 	0.32229048
accuracy: 	0.890625	loss: 	0.30872905
accuracy: 	0.9375	loss: 	0.23087147
accuracy: 	0.828125	loss: 	0.46346766
accuracy: 	0.859375	loss: 	0.42925578
accuracy: 	0.890625	loss: 	0.28600267
accuracy: 	0.78125	loss: 	0.74035156
accuracy: 	0.890625	loss: 	0.33326423
accuracy: 	0.796875	loss: 	0.39385706
accuracy: 	0.921875	loss: 	0.34589466
accuracy: 	0.890625	loss: 	0.30277914
accuracy: 	0.828125	loss: 	0.40794778
accuracy: 	0.875	loss: 	0.40977427
accuracy: 	0.859375	loss: 	0.37426424
accuracy: 	0.90625	loss: 	0.24976811
accuracy: 	0.90625	loss: 	0.29343635
accuracy: 	0.828125	loss: 	0.33333534
accuracy: 	0.828125	loss: 	0.45501506
accuracy: 	0.875	loss: 	0.32238498
accuracy: 	0.90625	loss: 	0.29213798
accuracy: 	0.90625	loss: 	0.29366904
accuracy: 	0.828125	loss: 	0.35844618
accuracy: 	0.859375	loss: 	0.24949259
accuracy: 	0.875	loss: 	0.38643968
accuracy: 	0.84375	loss: 	0.3916882
accuracy: 	0.875	loss: 	0.37083057
accuracy: 	0.890625	loss: 	0.43589848
accuracy: 	0.875	loss: 	0.37615436
accuracy: 	0.890625	loss: 	0.330782
accuracy: 	0.828125	loss: 	0.3968137
accuracy: 	0.8125	loss: 	0.41984126
accuracy: 	0.84375	loss: 	0.46283388
accuracy: 	0.90625	loss: 	0.39247596
accuracy: 	0.828125	loss: 	0.41633987
accuracy: 	0.84375	loss: 	0.39589292
accuracy: 	0.890625	loss: 	0.2919173
accuracy: 	0.828125	loss: 	0.3511116
accuracy: 	0.859375	loss: 	0.406375
accuracy: 	0.828125	loss: 	0.397178
accuracy: 	0.859375	loss: 	0.41202107
accuracy: 	0.921875	loss: 	0.27515537
accuracy: 	0.84375	loss: 	0.40704194
accuracy: 	0.859375	loss: 	0.330932
accuracy: 	0.890625	loss: 	0.29835594
accuracy: 	0.84375	loss: 	0.39161706
accuracy: 	0.9375	loss: 	0.17702174
accuracy: 	0.90625	loss: 	0.26165143
accuracy: 	0.8125	loss: 	0.50042933
accuracy: 	0.828125	loss: 	0.3897247
accuracy: 	0.859375	loss: 	0.5346483
accuracy: 	0.875	loss: 	0.4252309
accuracy: 	0.875	loss: 	0.37520525
accuracy: 	0.875	loss: 	0.259608
accuracy: 	0.890625	loss: 	0.36379772
accuracy: 	0.859375	loss: 	0.42728078
accuracy: 	0.875	loss: 	0.26103842
accuracy: 	0.9375	loss: 	0.2748548
accuracy: 	0.828125	loss: 	0.4331187
accuracy: 	0.8125	loss: 	0.37521547
accuracy: 	0.875	loss: 	0.3799475
accuracy: 	0.828125	loss: 	0.40666008
accuracy: 	0.90625	loss: 	0.24870276
